product_name,title,sku,price,cost,sale_price
6100-GRY-BLC,2' x 3',6100-GRY-BLC-2X3,5,2.6,3.75
6101-GRY-BLC,2' x 7',6100-GRY-BLC-2X7,11,6,8.25
6102-GRY-BLC,3' x 5',6100-GRY-BLC-3X5,13,7,
6103-GRY-BLC,3' x 8',6100-GRY-BLC-3X8,19,11,14.25
6104-GRY-BLC,4' x 5',6100-GRY-BLC-4x5,17,10,12.75
6105-GRY-BLC,5' x 7',6100-GRY-BLC-5X7,35,20,
6100-GRY-BLU,8' x 10',6100-GRY-BLC-8X10,75,40,
6101-GRY-BLU,2' x 3',6100-GRY-BLU-2X3,5,2.6,3.75
6102-GRY-BLU,2' x 5',6100-GRY-BLU-2X5,9,5,6.75
6103-GRY-BLU,2' x 7',6100-GRY-BLU-2X7,11,6,8.25
6104-GRY-BLU,3' x 5',6100-GRY-BLU-3X5,13,7,9.75
6105-GRY-BLU,3' x 8',6100-GRY-BLU-3X8,19,11,14.25
6106-GRY-BLU,4' x 5',6100-GRY-BLU-4x5,17,10,12.75
6107-GRY-BLU,5' x 7',6100-GRY-BLU-5x7,35,20,
6100-GRY-YLW,8' x 10',6100-GRY-BLU-8X10,75,40,
6101-GRY-YLW,2' x 3',6100-GRY-YLW-2X3,5,2.6,3.75
6102-GRY-YLW,3' x 5',6100-GRY-YLW-3X5,13,7,9.75
6103-GRY-YLW,3' x 8',6100-GRY-YLW-3X8,19,11,14.25
6104-GRY-YLW,4' x 5',6100-GRY-YLW-4x5,17,10,12.75
6105-GRY-YLW,5' x 7',6100-GRY-YLW-5X7,35,20,
6100-MULTI,8' x 10',6100-GRY-YLW-8X10,75,40,
6101-MULTI,2' x 3',6100-MULTI-2X3,5,2.6,3.75
6102-MULTI,2' x 5',6100-MULTI-2X5,9,5,6.75
6103-MULTI,2' x 7',6100-MULTI-2X7,11,6,8.25
6104-MULTI,3' x 5',6100-MULTI-3X5,13,7,9.75
6105-MULTI,3' x 8',6100-MULTI-3X8,19,11,14.25
6106-MULTI,4' x 5',6100-MULTI-4X5,17,10,12.75
6107-MULTI,5' x 7',6100-MULTI-5x7,35,20,
6100-RED-BLC,8' x 10',6100-MULTI-8X10,75,40,
6101-RED-BLC,2' x 3',6100-RED-BLC-2X3,5,2.6,3.75
6102-RED-BLC,2' x 5',6100-RED-BLC-2X5,9,5,6.75
6103-RED-BLC,2' x 7',6100-RED-BLC-2X7,11,6,8.25
6104-RED-BLC,3' x 5',6100-RED-BLC-3X5,13,7,9.75
6105-RED-BLC,3' x 8',6100-RED-BLC-3X8,19,11,14.25
6106-RED-BLC,4' x 5',6100-RED-BLC-4x5,17,10,12.75
6107-RED-BLC,5' x 7',6100-RED-BLC-5X7,35,20,26.25
7500-BLC-RED,8' x 10',6100-RED-BLC-8X10,75,40,
7501-BLC-RED,2' x 3',7500-BLC-RED-2x3,5,2.6,
7502-BLC-RED,2' x 5',7500-BLC-RED-2x5,9,5,6.75
7503-BLC-RED,2' x 7',7500-BLC-RED-2x7,11,6,8.25
7504-BLC-RED,3' x 5',7500-BLC-RED-3x5,13,7,
7505-BLC-RED,3' x 8',7500-BLC-RED-3x8,19,11,
7506-BLC-RED,4' x 5',7500-BLC-RED-4x5,17,10,
7507-BLC-RED,5' x 7',7500-BLC-RED-5x7,35,20,
