"SKU","ProductName","WarehouseName","Loc1","Loc2","Loc3","Loc4","OnHand","ReorderThreshold"
"","Beautiful Contemporary Style Area Rugs 8x11 Rugs Carpet Flooring New ","","","","","","0","0"
"","Beautiful Traditional Persian Style Area Rug 5x8 and 8x11[Black,5' x 8']","","","","","","0","0"
"","Beautiful Traditional Persian Style Area Rug 8x11 Brown Color Rugs Carpet","","","","","","0","0"
"","Rugs Area Beautiful Floral Modern Design Area Rugs 5x8 carpet Flooring New ","","","","","","0","0"
"","Beautiful Traditional Persian Style Area Rug 5x8 and 8x11[Red,5' x 8']","","","","","","0","0"
"","Beautiful Traditional Persian Style Area Rugs 8x11 Black Rug Carpet ","","","","","","0","0"
"","Beautiful Traditional Persian Style Area Rug 5x8 and 8x11[brown,5' x 8']","","","","","","0","0"
"","Beautiful Traditional Persian Style Area Rugs 8x11 Beige Color Rugs Carpet ","","","","","","0","0"
"776116670474","6100 Beautiful Contemporary Modern Wavy Circles Area Rug 5x8 ","","","","","","0","0"
"776116670603"," F14 Rugs Area Modern Design Contemporary 5x7 Rugs Carpets Flooring [Navy]","","","","","","0","0"
"RC2-AIP-9CS","Feraghan/New City New City Brand New Contemporary Modern Wavy Circles Area Rug, 8' x 10', Black","","","","","","0","0"
"ES-MTRC-82ML","Feraghan New City hil1030 Contemporary Modern Wavy Circles Area Rug, 5 x 8-Feet, Brown and Beige","","","","","","0","0"
"776116679941","Mens A-Shirt 100% Rib Cotton Tank Top Wife Beater Muscle Shirt Vest Undershirt[XL]","","","","","","0","0"
"776116671228","Modern Area Rug Contemporary Multi Color Carpet - Actual 5x8[Brown,5' x 8']","","","","","","0","0"
"776116671228","Modern Area Rug Contemporary Multi Color Carpet - Actual 5x8[Brown,8' x 10']","","","","","","0","0"
"N9-ZQF7-2HF2","Gildan Tall Cotton Tee 2000T (XLT / Black)","","","","","","0","0"
"YCJ-L9H-TV8","Safavieh California Shag Collection SG151-1313 Beige Area Rug, 8 feet by 10 feet (8' x 10')","","","","","","0","0"
"D7-CERR-IAIV","Beautiful Contemporary Modern Wavy Circles Area Rug 5x8 (8'x10')","","","","","","0","0"
"HEP-P2R-PSH","Safavieh California Shag Collection SG151-9090 Black Area Rug, 8 feet by 10 feet (8' x 10')","","","","","","0","0"
"776116671211","F08 Rugs Area Modern Design Contemporary 5x7 Rugs Carpets Flooring","","","","","","0","0"
"776116671266","Red Modern Geometric Area Rug 5x8 Contemporary Carpet[8' x 10',Brown]","","","","","","0","0"
"776116671303","Red Modern Geometric Area Rug 5x8 Contemporary Carpet[8' x 10']","","","","","","0","0"
"776116671587","7001 Beautiful Contemporary Modern Area Rug Carpet 5x7[5' x 8']","","","","","","0","0"
"776116671228","Modern Area Rug Contemporary Multi Color Carpet [Brown,8' x 10']","","","","","","0","0"
"776116671228","Modern Area Rug Contemporary Multi Color Carpet [Brown,5' x 8']","","","","","","0","0"
"776116671228","Modern Area Rug Contemporary Multi Color Carpet [Red,8' x 10']","","","","","","0","0"
"776116671303","Red Modern Geometric Area Rug 5x8 Contemporary Carpet[5' x 8']","","","","","","0","0"
"776116671594","7060 Beautiful Contemporary Modern Area Rug Carpet 5x7[5' x 7']","","","","","","0","0"
"776116671228","Modern Area Rug Contemporary Multi Color Carpet [Red,5' x 8']","","","","","","0","0"
"","6122 Luxury Modern Area Rugs 8x10Rug  Flower Carpet Living Room Rugs  Dining Roo","","","","","","0","0"
"","6121 Luxury Modern Area Rugs 8'x10 Red and Cream Flower Carpet Living Room ","","","","","","0","0"
"776116679910","Mens A-Shirt 100% Rib Cotton Tank Top Wife Beater Muscle Shirt Vest Undershirt[S]","","","","","","0","0"
"","Duck Dynasty Willie Wacky Wobbler Talking Bobblehead NEW A&E Robertson Cast Toy","","","","","","0","0"
"776116671266","Red Modern Geometric Area Rug 5x8 Contemporary Carpet[5' x 8',Red]","","","","","","0","0"
"776116671266","Red Modern Geometric Area Rug 5x8 Contemporary Carpet[8' x 10',Red]","","","","","","0","0"
"","6118 Red Modern Geometric Area Rug 8x10 Contemporary Carpet","","","","","","0","0"
"776116679927","Mens A-Shirt 100% Rib Cotton Tank Top Wife Beater Muscle Shirt Vest Undershirt[M]","","","","","","0","0"
"","Rugs Area Modern Design Contemporary Turquoise Color 5x7 Rugs Carpets Flooring","","","","","","0","0"
"776116671228","Modern Area Rug Contemporary Multi Color Carpet - Actual 5x8[Red,8' x 10']","","","","","","0","0"
"776116671464","7050 Beautiful Contemporary Modern Area Rug Carpet 5x7[Black,Gray,White,5' x 7']","","","","","","0","0"
"","Beautiful Traditional Persian Style Area Rug 5x8 and 8x11[Black,8' x 11']","","","","","","0","0"
"776116671464","7050 Beautiful Contemporary Modern Area Rug Carpet 5x7[Pink,Black,White,5' x 7']","","","","","","0","0"
"776116671570","7060 Beautiful Contemporary Modern Area Rug Carpet 5x7[5' x 8']","","","","","","0","0"
"","Funko Duck Dynasty Willie Robertson Talking Wacky Wobbler ","","","","","","0","0"
"776116671303","Beige Modern Geometric Area Rug 5x8 Contemporary Carpet[8' x 10']","","","","","","0","0"
"","Rugs Area Rugs Carpet Flooring Area Rug Floor Decor Modern Large Rugs Sale New[8' x 10']","","","","","","0","0"
"","Modern Geometric Area Rug 8X10 Contemporary Carpet[Beige]","","","","","","0","0"
"","RUGS AREA RUGS CARPET FLOORING AREA RUG FLOOR DECOR MODERN LARGE RUGS SALE NEW~ [8' x 10']","","","","","","0","0"
"776116679934","Mens A-Shirt 100% Rib Cotton Tank Top Wife Beater Muscle Shirt Vest Undershirt[L]","","","","","","0","0"
"","Traditional Area Rugs For Living Room size 5x7 and 8x10 rug clearance 0307[8' x 10',Black]","","","","","","0","0"
"","Beautiful Medallion Persian Style Area Rug 5x7 and 8x10 [8' x 10',Red]","","","","","","0","0"
"","Contemporary Area Rugs For Living Room size 5x7 and 8x10 rug clearance 1161[5' x 7']","","","","","","0","0"
"","Traditional Area Rugs For Living Room size 5x7 and 8x10 rug clearance 0307[8' x 10',Brown]","","","","","","0","0"
"776116671266","Red Modern Geometric Area Rug 5x8 Contemporary Carpet[5' x 8',Brown]","","","","","","0","0"
"","Beautiful Medallion Persian Style Area Rug 5x7 and 8x10 [8' x 10',Beige]","","","","","","0","0"
"","RUGS AREA RUGS CARPET FLOORING AREA RUG FLOOR DECOR MODERN LARGE RUGS SALE NEW~ [5' x 8']","","","","","","0","0"
"","Contemporary Area Rugs For Living Room size 5x7 and 8x10 rug clearance 1161[8' x 10']","","","","","","0","0"
"","Traditional Area Rugs For Living Room size 5x7 and 8x10 rug clearance 0307[8' x 10',Red]","","","","","","0","0"
"","Traditional Area Rugs For Living Room size 5x7 and 8x10 rug clearance 0307[8' x 10',Gold]","","","","","","0","0"
"776116671228","Traditional Area Rug Brown and Red Color Carpet [Brown,5' x 8']","","","","","","0","0"
"","Luxury Modern Area Rugs 8x10 Rug Flower Carpet Living Room Rugs Dining Room","","","","","","0","0"
