SKU,ProductName,WarehouseName,Loc1,Loc2,Loc3,Loc4,OnHand,ReorderThreshold
,Beautiful Contemporary Style Area Rugs 8x11 Rugs Carpet Flooring New ,,,,,,0,0
,"Beautiful Traditional Persian Style Area Rug 5x8 and 8x11[Black,5' x 8']",,,,,,0,0
,Beautiful Traditional Persian Style Area Rug 8x11 Brown Color Rugs Carpet,,,,,,0,0
,Rugs Area Beautiful Floral Modern Design Area Rugs 5x8 carpet Flooring New ,,,,,,0,0
,"Beautiful Traditional Persian Style Area Rug 5x8 and 8x11[Red,5' x 8']",,,,,,0,0
,Beautiful Traditional Persian Style Area Rugs 8x11 Black Rug Carpet ,,,,,,0,0
,"Beautiful Traditional Persian Style Area Rug 5x8 and 8x11[brown,5' x 8']",,,,,,0,0
,Beautiful Traditional Persian Style Area Rugs 8x11 Beige Color Rugs Carpet ,,,,,,0,0
776116670474 ,6100 Beautiful Contemporary Modern Wavy Circles Area Rug 5x8 ,,,,,,0,0
776116670603 , F14 Rugs Area Modern Design Contemporary 5x7 Rugs Carpets Flooring [Navy],,,,,,0,0
